id,classgrp,grpa,grpb,grpc,grpd,grpe,grpf,grpg,grph,grpi,grpj,grpk,grpl,grpm,grpn,grpo,grp1a,grp1b,grp1c,grp1d,grp1e,grp1f,grp1g,grp1h,grp1i,grp1j,grp1k,grp1l,grp1m,grp1n,grp1o,grp2a,grp2b,grp2c,grp2d,grp2e,grp2f,grp2g,grp2h,grp2i,grp2j,grp2k,grp2l,grp2m,grp2n,grp2o,grp3a,grp3b,grp3c,grp3d,grp3e,grp3f,grp3g,grp3h,grp3i,grp3j,grp3k,grp3l,grp3m,grp3n,grp3o,grp4a,grp4b,grp4c,grp4d,grp4e,grp4f,grp4g,grp4h,grp4i,grp4j,grp4k,grp4l,grp4m,grp4n,grp4o,classid
1040211,2,,,,,,,,,,,,,,,,1040208,1040217,1040219,1040239,,,,,,,,,,,,1040243,1040207,1040235,1040202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10402
1040212,1,1040234,1040203,1040205,,,,,,,,,,,,,1040216,1040211,1040230,1040212,,,,,,,,,,,,1040234,1040203,1040201,1040214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10402
1040213,1,1040208,1040220,1040214,1040227,1040222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10402
1040214,1,1040224,1040216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10402
1040215,1,1040234,1040203,1040233,,,,,,,,,,,,,1040225,1040224,1040203,,,,,,,,,,,,,1040213,1040217,1040220,1040208,,,,,,,,,,,,1040212,1040234,1040201,,,,,,,,,,,,,1040226,1040240,1040233,,,,,,,,,,,,,10402
1040216,1,1040245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10402
1040217,1,1040208,,,,,,,,,,,,,,,1040201,1040236,1040231,1040211,,,,,,,,,,,,1040225,1040240,1040244,1040245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10402
1040218,1,1040203,1040203,1040224,1040231,1040225,1040201,1040210,1040212,1040247,1040234,1040236,1040238,,,,1040225,1040231,1040238,1040201,1040236,1040224,1040234,1040203,1040209,1040214,1040212,,,,,1040248,1040247,1040238,1040233,1040230,1040226,1040216,1040215,1040210,1040209,,,,,,1040237,1040222,1040216,1040205,,,,,,,,,,,,1040245,1040244,,,,,,,,,,,,,,10402
1040219,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10402
1040220,1,1040208,1040217,1040227,1040228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1040201,1040236,1040240,1040231,,,,,,,,,,,,1040203,1040213,,,,,,,,,,,,,,10402
1040221,1,1040243,1040220,1040202,1040223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10402
1040222,1,1040221,1040246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10402
1040223,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10402
1040224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10402
1040225,1,1040238,1040240,1040231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1040208,1040217,1040213,1040220,,,,,,,,,,,,1040240,1040236,1040231,1040201,,,,,,,,,,,,10402
1040226,1,1040233,1040216,1040244,,,,,,,,,,,,,1040236,1040245,,,,,,,,,,,,,,1040238,1040210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10402
1040227,1,1040228,1040223,1040222,,,,,,,,,,,,,1040228,1040223,,,,,,,,,,,,,,1040222,1040213,,,,,,,,,,,,,,1040208,1040220,,,,,,,,,,,,,,1040217,,,,,,,,,,,,,,,10402
1040228,,1040227,1040222,,,,,,,,,,,,,,1040227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10402
1040229,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10402
1040230,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10402
1040231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10402
1040232,1,1040220,1040210,1040208,1040217,,,,,,,,,,,,1040220,1040213,1040208,,,,,,,,,,,,,1040239,1040235,1040228,,,,,,,,,,,,,1040227,1040223,,,,,,,,,,,,,,1040207,1040204,,,,,,,,,,,,,,10402
1040233,,1040238,,,,,,,,,,,,,,,1040226,1040216,1040244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10402
1040234,,,,,,,,,,,,,,,,,1040220,1040213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10402
1040235,1,1040207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10402
1040236,1,1040240,1040206,1040231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10402
1040237,1,1040210,,,,,,,,,,,,,,,1040201,1040236,,,,,,,,,,,,,,1040225,1040238,,,,,,,,,,,,,,1040241,1040219,,,,,,,,,,,,,,1040243,1040202,,,,,,,,,,,,,,10402
1040238,1,1040225,1040236,,,,,,,,,,,,,,1040224,1040213,1040205,,,,,,,,,,,,,1040234,1040233,,,,,,,,,,,,,,1040244,1040245,1040248,,,,,,,,,,,,,1040242,1040241,1040219,,,,,,,,,,,,,10402
1040239,1,,,,,,,,,,,,,,,,1040227,1040228,1040222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10402
1040240,1,1040226,,,,,,,,,,,,,,,1040236,1040231,1040205,1040226,,,,,,,,,,,,1040225,1040238,1040245,,,,,,,,,,,,,1040233,1040216,1040244,,,,,,,,,,,,,1040203,1040209,1040230,,,,,,,,,,,,,10402
1040241,1,1040213,1040220,1040208,1040217,,,,,,,,,,,,1040213,1040220,1040208,1040217,,,,,,,,,,,,1040202,1040242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10402
1040242,2,,,,,,,,,,,,,,,,1040202,1040243,,,,,,,,,,,,,,1040202,1040243,,,,,,,,,,,,,,1040232,1040239,,,,,,,,,,,,,,1040246,1040228,,,,,,,,,,,,,,10402
1040243,1,1040202,1040242,1040221,,,,,,,,,,,,,1040207,1040241,1040246,1040235,,,,,,,,,,,,1040227,1040228,1040222,1040221,,,,,,,,,,,,1040213,1040208,1040217,1040220,,,,,,,,,,,,1040202,1040242,1040220,1040204,,,,,,,,,,,,10402
1040244,,,,,,,,,,,,,,,,,1040208,1040213,1040220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10402
1040245,1,1040216,1040246,1040202,1040214,1040225,1040229,1040224,,,,,,,,,1040201,1040205,1040206,1040212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10402
1040246,1,1040221,1040222,1040241,,,,,,,,,,,,,1040228,1040227,,,,,,,,,,,,,,1040213,1040208,1040220,1040217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10402
1040247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10402
1040248,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10402
1040249,1,1040202,1040243,1040235,1040208,1040221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10402
1040250,2,,,,,,,,,,,,,,,,1040206,1040203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10402
1040301,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10403
1040301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10403
1040303,2,,,,,,,,,,,,,,,,1040323,,,,,,,,,,,,,,,1040350,,,,,,,,,,,,,,,1040322,,,,,,,,,,,,,,,1040346,,,,,,,,,,,,,,,10403
1040304,1,1040322,1040306,1040309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10403
1040305,2,,,,,,,,,,,,,,,,1040302,1040328,1040347,,,,,,,,,,,,,1040319,1040317,1040318,,,,,,,,,,,,,1040314,,,,,,,,,,,,,,,1040338,1040334,1040347,,,,,,,,,,,,,10403
1040306,1,1040304,1040309,1040322,1040315,1040348,,,,,,,,,,,1040304,1040309,1040315,1040348,,,,,,,,,,,,1040332,1040333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10403
